SquareRootSum,Well Name,API Number
25815.915316137834,CHERRY STATE 31-16H,33-053-05284-0000
19838.371571500014,MACK 11-2H1,33-053-05344-0000
26023.82259700523,BW-ARNEGARD STATE- 151-100-3625H-5,33-053-05374-0000
23786.304960546102,FINSAAS 34-9-3H,33-053-05428-0000
25595.15280770951,FORT BERTHOLD 152-93-19D-18-7H,33-053-05443-0000
26032.85027345258,GOOD VOICE 34-27HZ,33-053-05502-0000
25893.983247665856,DENALI 44-33TFH,33-053-05507-0000
26128.482940086666,HAGEN BANKS 5298 #42-31 7T3,33-053-05512-0000
25251.063070405573,SLUGGER 6-16-21H,33-053-05573-0000
24740.13060777974,GUY FEDERAL 24X-35F,33-053-05631-0000
26389.032440013787,HOLSTEIN FEDERAL 1-25H,33-053-05652-0000
26011.64630671423,JORE FEDERAL 2-11-5H,33-053-06081-0000
25694.547574954497,NORFOLK 7-1H,33-053-06136-0000
25564.18164199472,JOHNSON FEDERAL 11X-5F,33-053-06144-0000
26119.02659372282,BW-HEIDI HO- 149-99-3526H-4,33-053-06162-0000
25929.334111689022,BW-ERLER- 149-99-1522H-5,33-053-06182-0000
24676.05014901899,KINGS CANYON 5-8-34UTFH,33-053-06275-0000
25811.89468969878,HEINZ 18-19 #2H,33-053-06331-0000
24951.116023304447,DAILEY 6-12-13BH,33-053-06604-0000
25570.207036629563,GUDMUNSON 3-1-26MBH,33-053-06824-0000
25442.669514893678,SLUGGER 3-16-21H,33-053-05554-0000
26349.150741653895,FLECK 150-100-12-1-2H,33-053-05705-0000
25571.38439284037,PAULSON 150-101-23-14-2H,33-053-05867-0000
25205.461736695084,BW-HEDSTROM- 149-100-1201H-3,33-053-05894-0000
25572.67008135834,CHALMERS 5301 44-24 4T2R,33-053-06011-0000
25668.184208658,ARNEGARD 150-100-23-14-4H,33-053-06501-0000
25500.23097727548,KDM 6-7-6BHD,33-053-07317-0000
26044.334246979706,KOALA FEDERAL 31-25TFH,33-053-07517-0000
25480.942685858387,DEMICKS DODGE  1A MBH-ULW,33-053-07949-0000
25637.84947409006,WAHPETON 11-16H1,33-053-04733-0000
19663.369632596037,BUCKY 13-36H,33-053-05409-0000
19545.288510748567,BULLET 12-36H,33-053-05493-0000
27224.557858110387,GARFIELD FEDERAL 6-5H,33-053-05597-0000
18744.392035702305,SAND CREEK STATE  153-96-16-11H,33-053-05639-0000
22247.292211332147,SCOTTSDALE 3-31H1,33-053-05763-0000
24940.808629154348,ANDERSON 148-100-7-6-3H,33-053-06383-0000
20935.919464890954,SHERVEN TRUST 153-95-27B-2H,33-053-05206-0000
25614.73885321496,KOALA 16-32-29-2H3,33-053-05222-0000
25614.906647889624,TAYLOR 34-7-2H,33-053-05274-0000
26933.72625197078,JAN 14X-34F,33-053-05350-0000
26451.339175975572,JAN 14X-34E,33-053-05351-0000
25249.070062243878,THURLOW WILLIAMS 11-18H,33-053-05389-0000
25469.88371021941,AN-GUDBRANSON- 153-94-2215H-3,33-053-05451-0000
24611.62322887501,CRATER LAKE 11-14MBH-R,33-053-05456-0000
25905.665008103922,KIRKLAND 4-23-14BH,33-053-05527-0000
25267.177796281485,ROWE 150-101-1-12-5H,33-053-05548-0000
25875.954833831736,TALON 7-9-4H,33-053-05572-0000
26032.038416199757,BB-BUDAHN A- 150-95-0403H-6,33-053-05622-0000
25521.67651255693,SYVERSON 150-99-36-25-3H,33-053-05626-0000
25885.327991933962,MOBERG 4-17-16BH,33-053-05676-0000
26184.8527220777,JOHNSON 3-9-4BH,33-053-05682-0000
26255.341929595965,WHITE 5198 12-6 1T2,33-053-05706-0000
26056.538936059795,TAT 2-33-28-BH,33-053-05718-0000
26030.07026330125,MANNING 1X-32H,33-053-05756-0000
25618.755307344654,BW-SORENSON- 149-99-1324H-5,33-053-05820-0000
26206.64156632055,NELSON FEDERAL 21X-5E,33-053-05844-0000
25978.675641502592,NELSON FEDERAL 41X-5C,33-053-05878-0000
24660.982268587763,SHENANDOAH 24-36TFH,33-053-05896-0000
25130.034594516575,CHALMERS 5300 21-19 6B,33-053-06019-0000
25330.96689590826,KLINE FEDERAL 5300 41-18 13T2X,33-053-06028-0000
25288.569274992606,JOEL GOODSEN 7-32-29H,33-053-06037-0000
24585.337182483385,HAMMERHEAD 31-26-2MBH,33-053-06075-0000
25426.347443358827,FOREMAN 2-2-1BH,33-053-06123-0000
26319.79367776275,AMUNDSON 34X-22E,33-053-06156-0000
29466.374152964596,DOLL USA 12-14H,33-053-06220-0000
25231.614478831907,WISNESS 150-100-23-14-7H,33-053-06240-0000
25626.505719048004,P. LEVANG 1-14-23BH,33-053-06253-0000
26318.7084831323,BADGER 150-94-04B-09H TF,33-053-06323-0000
26278.29435735128,CHERYL 17-20 #5H,33-053-06347-0000
25620.959463103638,MOBERG FEDERAL  149-95-29-32-1H,33-053-06359-0000
26430.329848142268,CHERYL 17-20 XW #1TFH,33-053-06374-0000
24108.99616774618,BB-OLE ANDERSON- 151-95-3130H-5,33-053-06506-0000
24978.32460291122,STATE 8-36-1BH,33-053-06802-0000
25068.65183870086,HENDERSON 1-12-2-11BH,33-053-06844-0000
26207.140946665662,RINI 1X-16HB,33-053-06872-0000
25615.003249822163,HYSTED 5200 11-30 7T,33-053-06897-0000
26070.182571481928,STENEHJEM 12H,33-053-06914-0000
26513.41554220429,JAN 14X-34B,33-053-05352-0000
26002.985393375508,HA-NELSON- 152-95-3328H-8,33-053-05470-0000
25669.76306428246,DENALI  11-4TFH,33-053-05505-0000
25401.86559780403,STAFFORD 13-34MBH,33-053-05567-0000
19722.656440309962,SHERVEN TRUST 153-95-27D-6H,33-053-05578-0000
26094.837983265963,HAYMAKER 41-15TFH-A,33-053-05688-0000
25398.505964918488,HAYMAKER 31-15MBH-A,33-053-05691-0000
25253.393115611216,FINSAAS FEDERAL 31-16-4H,33-053-05737-0000
25968.810762458877,DAVIS 1-32H,33-053-05757-0000
25264.245390118027,ECKERT FOUNDATION 152-102-22-15-3H,33-053-05760-0000
24645.756789112806,PAULSON 36-1 2H,33-053-05776-0000
25946.6584807389,WAHLSTROM 152-102-34-27-3H,33-053-05833-0000
26229.428371971815,LINSETH 16-21-15-22LL,33-053-05884-0000
25133.725613145776,STENEHJEM 27-34-4H,33-053-05916-0000
25134.770748158815,BRITT 151-102-4-9-3H,33-053-05983-0000
26909.152841366078,JOHNSON 150-99-34-27-4H,33-053-06000-0000
23183.272003151324,WILEY 4-25H2,33-053-06005-0000
25369.970962072464,STATE 3-16-21TH,33-053-06035-0000
25317.467370890397,DUDLEY DAWSON 6-2-11H,33-053-06041-0000
25364.17462805561,GRANLI 34X-20BXC,33-053-06204-0000
25469.896553861385,JONES 15-22-16-21LL,33-053-06238-0000
24793.877677815948,KINGS CANYON 4-8-34MBH,33-053-06274-0000
28895.169792863304,BRIER 5200 43-22 12T,33-053-06310-0000
23585.55701420681,LACANYON 8-8-34MBH ULW,33-053-06317-0000
26032.7883710543,MORGAN 41-28TFH ULW,33-053-06425-0000
22728.96455499898,HENDRICKSON 7-36H2,33-053-06454-0000
19055.057796816047,SHERVEN TRUST 153-95-27A-7HS,33-053-06545-0000
25100.76796410022,MARLENE 42X-20CXD,33-053-06559-0000
26068.793762205416,OLD HICKORY 42-32MBH,33-053-06569-0000
30490.626208433307,MONROE 9-2H,33-053-06588-0000
26348.123933898976,SONDROL 11-3-3H,33-053-06612-0000
25392.546299307993,HA-SANFORD- 152-96-1819H-8,33-053-06642-0000
25344.132576484048,BOGGS 29-32-30-31THD,33-053-06696-0000
25914.585214046936,RINK 12X-4D,33-053-06711-0000
26508.53210317199,RITA 44X-34HXE,33-053-06841-0000
25461.103376099003,KOALA 44-5-3H,33-053-06883-0000
25471.74168721291,RYAN 14X-9A,33-053-06903-0000
25654.71425605828,BB-CHAPIN A- LS-151-95-0403H-1,33-053-06198-0000
18538.096129052734,STATE 11X-16MB4,33-053-06723-0000
24532.675985764374,STATE 4-36-1T2H,33-053-06801-0000
24262.957814745092,HARLEY FEDERAL 24X-15F,33-053-06938-0000
25550.688443648636,JOHNSRUD  5198 12-18 7B,33-053-06978-0000
25782.01919889325,JOHNSRUD  5198 14-18 11T,33-053-06986-0000
25078.753891613116,FOREMAN 5-2-1BH,33-053-07071-0000
25620.796672242646,FOREMAN 2-2-1THR,33-053-07074-0000
25608.201854423514,LARSEN 152-96-16-21-5HLW,33-053-07090-0000
25651.36533880604,SIMPSON 151-102-5-8-13H,33-053-07091-0000
25896.454513311277,JOHNSON 31X-6D,33-053-07094-0000
26857.99717200819,LUNDIN 11X-15EXH,33-053-07117-0000
25441.921816421418,LAWLAR N FEDERAL 5199 44-23 11BX,33-053-07122-0000
26084.23377498561,AN-EVENSON- 152-95-0310H-11,33-053-07137-0000
25041.64839293931,FOREMAN 6-2-1BH,33-053-07140-0000
24958.169013773826,ROLLA FEDERAL 21-3-2TFH,33-053-07154-0000
25691.522156542225,CHAMELEON STATE 21-16-1H,33-053-07200-0000
25517.91754340663,CHAMELEON STATE 21-16-1TFH,33-053-07201-0000
25295.432560936766,HA-GRIMESTAD- 152-95-3031H-4,33-053-07252-0000
25438.79216348331,HA-GRIMESTAD- 152-95-3031H-5,33-053-07253-0000
25416.545520036747,HA-GRIMESTAD- LW-152-95-3031H-1,33-053-07255-0000
25334.805991143883,NORFOLK 9-1H,33-053-07284-0000
26404.172100037522,MOBERG FEDERAL 149-95-29-32-20H,33-053-07299-0000
25941.737244440665,STENEHJEM 7H,33-053-07319-0000
25978.558597497286,KDM 1-7-6T2HD,33-053-07328-0000
25565.56008036006,FORT BERTHOLD 152-94-13B-24-13H,33-053-07345-0000
24644.112944524906,ROLLA FEDERAL 11-3-2TFH,33-053-07419-0000
25429.111748985648,CUNNINGHAM USA 31-4H,33-053-07475-0000
25618.61625521761,TARENTAISE FEDERAL 1-19H,33-053-07542-0000
25884.648387353074,JOHNSON 31X-6FXG,33-053-07576-0000
25998.22436249253,HEINZ 18-19 XW #1H,33-053-07628-0000
25868.03496503745,CLARKS CREEK  110-0719H,33-053-07662-0000
25417.151559970287,BB-LARS ROTHIE- 151-95-3229H-7,33-053-07674-0000
24997.10151998427,HELSINGBORG FEDERAL 153-96-27-22-13H,33-053-07695-0000
26052.964393037888,VEEDER  4B TFH,33-053-07802-0000
26460.12479000241,MALM 149-98-14-23-5H,33-053-07960-0000
26425.47848954868,MOBERG FEDERAL 149-95-29-32-30HLW,33-053-08039-0000
25349.490564893014,WOLD 16-7TFH,33-053-07680-0000
19930.686238885504,MANDAREE 28-05H,33-053-05390-0000
25066.77825534227,MASTON 34-27 #4H,33-053-05729-0000
24750.456620668636,HA-ROLFSRUD- 152-96-1720H-4,33-053-05839-0000
25476.171544250916,EXCALIBUR 7-25-36H,33-053-05876-0000
25573.977784116807,SKEDSVOLD 21-4-4H,33-053-06107-0000
25988.21474814305,EMMA OWNER 23-14HB,33-053-06288-0000
24531.26011684683,HA-THOMPSON- 152-95-2017H-6,33-053-05420-0000
25968.327497357237,TAT 2-35-26BH,33-053-05714-0000
26087.744421089763,NELSON FEDERAL 41X-5H,33-053-05879-0000
25132.12029696062,GOOD SHEPHERD 21-15-2H,33-053-05955-0000
24875.08668705297,KLINE FEDERAL  5300 31-18 8B,33-053-06055-0000
24937.988858799337,SKEDSVOLD 21-4-3H,33-053-06106-0000
25996.13730080875,BB-BELQUIST- 150-95-1110H-9,33-053-06119-0000
25484.562731365433,SATTER 21X-1B,33-053-06341-0000
26070.33662158009,EIDE 41-13-4H,33-053-06385-0000
25028.348605581232,ARNEGARD 21-26-2H,33-053-06399-0000
25338.96804149885,GREG MARMALARD FEDERAL 3-28-33H,33-053-06438-0000
25794.661900868174,THOMPSON 44X-20B,33-053-06560-0000
25362.32044589769,HA-SANFORD- 152-96-1819H-6,33-053-06640-0000
25283.620358249726,HA-SANFORD- 152-96-1819H-7,33-053-06641-0000
25230.46019136591,CHERRY STATE 31-16-3H,33-053-06648-0000
26166.48271286189,FLATLAND FEDERAL 11-4-2TFH,33-053-06713-0000
25182.89644052884,ANDERSMADSON 5201 43-24 10T,33-053-06798-0000
24729.61822362812,HOMER FEDERAL  14X-32F,33-053-06854-0000
26032.241597543998,STENEHJEM 11H,33-053-06913-0000
25904.721480782224,KIRKLAND 6-7-1-12T2HD,33-053-06639-0000
25710.772901840195,KLAMM 34X-9H,33-053-06770-0000
26387.669355977614,STATE 31-3-1H,33-053-06271-0000
25685.775956634054,JOHNSRUD  5198 12-18 5B,33-053-06976-0000
25910.774805775298,RACHEL WOLF  27-34HG,33-053-07257-0000
25599.47094380077,ROLFSON S 5198 12-29 7B,33-053-07272-0000
25528.705190518376,FORT BERTHOLD 152-94-13B-24-11H,33-053-07344-0000
25877.091980763606,ROLFSON S 5198 43-20 9B,33-053-07378-0000
25073.29562007356,KOALA 44-31H,33-053-07404-0000
25594.72199811711,BB-FEDERAL 151-95-1708H-10,33-053-07479-0000
25618.09750357157,TARENTAISE FEDERAL 13-19H,33-053-07556-0000
25164.515575714944,HA-LINK- 152-95-3526H-8,33-053-07616-0000
25111.452936110647,LADYBUG 150-94-11C-12H-TF,33-053-07701-0000
24928.82842477961,WASP 150-94-11C-12H,33-053-07702-0000
25614.76361019949,CLARKS CREEK 75-0719HX,33-053-07809-0000
26179.406962389352,PATSY 5198 12-17 6B,33-053-07815-0000
26128.04676543771,OTIS 5-28-33BHD,33-053-07978-0000
25289.44134759801,ANDERSON RANCH 3B-TFH,33-053-07580-0000
25231.76946098113,HA-GRIMESTAD- LE-152-95-3031H-1,33-053-07640-0000
25507.10644604754,HAMMERHEAD 11-26TFH,33-053-06072-0000
25742.39401532033,GRANLI 34X-20C,33-053-06205-0000
25667.447058266232,WHITE 5198 12-6 5B,33-053-07645-0000
19996.253552313243,HUDSON 13-21H,33-053-03391-0000
25428.412422044756,LOVAAS 7-1-1UTFH,33-053-03493-0000
19403.228677557763,PANZER 1-20MLH,33-053-03729-0000
25547.73167105839,FORT BERTHOLD 151-94-26B-35-2H,33-053-04066-0000
26032.99241539666,BRYCE 41-5TFH,33-053-04371-0000
25612.545964694724,GARMANN 19-18 4TFH,33-053-04602-0000
24551.060562517458,WASHBURN 41-36TFH,33-053-05013-0000
24924.55595162329,ALBERT B. 27 34 4TFH,33-053-04314-0000
26132.325156832103,AN-EVENSON 152-95-0310H-5,33-053-05024-0000
25563.741163366525,POGO 1-28-33BH,33-053-05097-0000
25715.07214456922,BRODERSON 30-31 2H,33-053-04585-0000
26049.594497120295,NORFOLK 5-1H,33-053-04633-0000
25664.399031344958,GREENSTEIN 30-31 4H,33-053-04655-0000
25716.234207550686,WAHPETON 2-16H2,33-053-04744-0000
26663.20181643795,BULLY FEDERAL 44X-20E,33-053-04894-0000
25489.230448032362,PONCHO 1-3-10BH,33-053-05114-0000
26434.92239982747,PATTERSON FEDERAL 4-13H1,33-053-05146-0000
26477.582308483154,KUHN FEDERAL  4-12H1,33-053-05148-0000
25236.377134802846,ARCHER 14-25TFH,33-053-05259-0000
19756.68131216374,MATTIE 13-36H,33-053-05410-0000
25714.885693240016,WAHPETON 3-16H3,33-053-04745-0000
25740.654331716203,WAHPETON 4-16H1,33-053-04746-0000
25623.94376671944,LOOMER 41X-3G,33-053-04932-0000
24602.989642254863,ALICE 44X-34D,33-053-04946-0000
25452.556884336787,JOHNSON 2-4-9BH,33-053-04960-0000
24933.988084732857,BW-JOHNSON 149-99-1003H-3,33-053-05020-0000
24681.454420969603,CRATER LAKE 31-14MBH,33-053-05189-0000
19749.224668125582,TRUE FEDERAL 33-35 2H MB1,33-053-05202-0000
26301.373722305838,EIDE 150-99-7-6-2H,33-053-05229-0000
25189.811466511615,PRAIRIE USA FEDERAL 1-12H,33-053-05258-0000
30606.55271614887,COURAGE 150-94-06A-18H,33-053-05332-0000
24008.238449199056,BOWLINE 1-2-11H,33-053-05372-0000
25855.29072180199,OTIS 3-28-33TH,33-053-05422-0000
25281.35404624523,LUCY  14X-32B,33-053-05466-0000
25352.79246970834,POLK FEDERAL 2-33H,33-053-05565-0000
26064.506884514427,ANDERSON 152-96-23C-24-1HS,33-053-05641-0000
23861.99773049189,HARLEY 11-2MBH-R,33-053-06043-0000
26087.549596481844,EDNA 11-2 4TFH,33-053-04830-0000
25350.159887166392,BJARNE 2-29H,33-053-04837-0000
25176.940173819774,HOLM 150-98-17-20-3H,33-053-05065-0000
24081.20743687077,KELTER FEDERAL 7-6HTF2,33-053-05129-0000
23544.79181206748,KELTER FEDERAL 7-6HTF,33-053-05130-0000
24999.809511474283,BIG BEND 11-2MBH,33-053-05160-0000
26219.21927893544,DORIS 1X-13H,33-053-05177-0000
23588.568178369795,HARLEY 41-2TFH,33-053-05211-0000
25897.949931444382,DWYER 150-101-35-26-3H,33-053-05218-0000
26084.776018789198,TAT 4-33-28BH,33-053-05290-0000
26129.87426667224,HANK 13X-7H,33-053-05356-0000
25407.3251569877,PIRATE  4-2-11H,33-053-05380-0000
25399.721199826192,LEFTY  5200 14-30 4T2,33-053-05418-0000
24153.18777679046,FINSAAS 34-9-4H,33-053-05429-0000
25293.956340456112,RAVIN 26-35-6H,33-053-05435-0000
24681.31976571755,PATTERSON FEDERAL 7-13H,33-053-05460-0000
25443.479172913834,HA-NELSON A- 152-95-3427H-5,33-053-05483-0000
19282.304699687742,HAMMER 12-36H,33-053-05491-0000
26326.785242564274,SOVIG 24-22-4H,33-053-05605-0000
26484.13900945998,OLE BOE 44-14MBH-ULW,33-053-05510-0000
25353.129376075056,SERRAHN 41X-6D,33-053-05627-0000
26244.75117276024,TODD 13X-35H,33-053-05711-0000
26233.85592888701,AN-EVENSON- 152-95-1003H-6,33-053-05719-0000
26084.822856138013,WHITE 5198 13-6 13T3,33-053-05772-0000
24566.99555866773,SHENANDOAH 14-36TFH-R,33-053-05796-0000
25386.671685157944,LUCY EVANS 29-32HA,33-053-05805-0000
25262.074886329112,LUCY EVANS 29-32HB,33-053-05807-0000
25516.249528175176,LUCY EVANS 29-32HX,33-053-05808-0000
19181.53547502389,GILBERTSON  34X-26G,33-053-05823-0000
25393.177371853253,FORT BERTHOLD 152-93-19D-18-11H,33-053-05900-0000
24833.864097848327,TARPON FEDERAL 24-20-2RH,33-053-05979-0000
24910.568835608712,WADE FEDERAL 5300 21-30 12T,33-053-06129-0000
25678.87389936716,BB-CHAPIN A- 151-95-0403H-8,33-053-06195-0000
26359.073208716956,JOHNSRUD FEDERAL 34X-14D,33-053-06258-0000
27097.2674218564,TETON 6-8-10MBH,33-053-06298-0000
26779.224204364098,KIRKLAND 14-21MBH,33-053-06408-0000
24954.912392202463,BB-SIVERTSON- LN-151-95-1719H-1,33-053-06504-0000
25230.462734498153,STATE 4-36-1TH,33-053-06803-0000
24907.340442048404,OLD ARCHES 14-35MBH ULW,33-053-05530-0000
19982.733222299696,MOBERG 4-18BH,33-053-05812-0000
25286.22953712356,JONES 3-15-22BH,33-053-06235-0000
25332.89795825973,RISING SUN 21-1TFH-4NH,33-053-05070-0000
24988.557175035137,SUNLINE 21-1TFH-4SH,33-053-05071-0000
26012.738630148116,KUHN FEDERAL 5-12H,33-053-05149-0000
25879.72699276598,HYSTED 5200 14-30 #2B,33-053-05176-0000
26367.263705286146,VEEDER 3-27-34TH,33-053-05245-0000
26000.437861697636,FORT BERTHOLD 152-94-11B-14-5H,33-053-04969-0000
26298.809766088274,DUKE 34X-31A,33-053-05075-0000
21762.02159532979,ARCHER 24-25MBH,33-053-05132-0000
25681.258887959524,LEFTY 5200 14-30 #2T,33-053-05171-0000
26174.77487505862,SC-4WX- 153-98-3130H-2,33-053-05193-0000
25358.98972230755,EXCALIBUR 2-25-36H,33-053-05209-0000
25474.96730896627,JAMESTOWN FEDERAL 5-17H,33-053-05269-0000
26056.592473122804,BRATCHER 14-36-2H,33-053-05306-0000
25653.38400852605,SKAAR 150-99-15-22-3H,33-053-05313-0000
25374.07941196882,WISNESS 150-100-23-14-6H,33-053-05385-0000
25272.986632022737,RAVIN 26-35-5H,33-053-05436-0000
25087.85666660466,HOGNOSE 152-94-18B-19H-TF,33-053-05475-0000
25079.201005462673,NORMAN 11-4MBH,33-053-05504-0000
25418.685294816096,CHERRY CREEK STATE 44X-36C,33-053-05533-0000
27111.301408940148,GARFIELD FEDERAL 5-5H1,33-053-05598-0000
25405.245963469828,BB-BUDAHN A- 150-95-0403H-8,33-053-05620-0000
25233.64347565369,BB-BUDAHN A- 150-95-0403H-7,33-053-05621-0000
24644.598067122133,WOLLAN 152-96-27A-35-1HS,33-053-05640-0000
25465.576566777356,RUBY 31-30HX,33-053-05702-0000
26078.82853750145,TAT 1-35-26TH,33-053-05715-0000
24987.634341171637,USA 153-95-23C-14-2HS,33-053-05782-0000
25819.832996950234,WAHLSTROM 152-102-34-27-1H,33-053-05835-0000
24653.28678092436,HA-ROLFSRUD- 152-96-1720H-5,33-053-05840-0000
24927.893325903013,GUNDER T. 31-30-2H,33-053-05886-0000
25954.697671905178,OMLID 41X-13G,33-053-05904-0000
25386.653038445224,AN-BRENNA- 153-94-3130H-7,33-053-05931-0000
25134.30050639166,GUNDER T. 21-30H,33-053-05945-0000
24728.203048414172,USA 153-96-24C-13-4H,33-053-05960-0000
24935.857989331347,STATE 152-102-36-25-8H,33-053-05963-0000
25321.84033470711,BRITT 151-102-4-9-4H,33-053-05984-0000
25330.58354445274,RANGER 21X-18B,33-053-06067-0000
25919.27636806437,RANGER 21X-18C,33-053-06069-0000
31425.75545124731,FLORIDA FEDERAL 5-11H,33-053-06087-0000
25355.460827750696,RADERMECHER 2-22H1,33-053-06133-0000
25564.385476431857,BW-JOHNSON- 149-99-1003H-4,33-053-06178-0000
25637.83918290307,BB-CHAPIN A- 151-95-0403H-7,33-053-06194-0000
25924.979596923506,WISNESS 150-100-23-14-11TFH,33-053-06239-0000
26060.88508857863,SORENSON 14X-33EXH,33-053-06285-0000
26125.184015093557,RITA 44X-34BXC,33-053-06304-0000
27156.945903412998,ECKERT 41X-6C,33-053-06388-0000
22145.82428641797,P. LEVANG 1-14TH,33-053-06391-0000
26438.507870785746,ETSTATIS 32-29HB,33-053-06427-0000
25335.461973133624,HA-SANFORD- 152-96-1819H-9,33-053-06643-0000
25396.687595582225,HA-SANFORD- LW-152-96-1819H-1,33-053-06645-0000
25401.087859137057,STENEHJEM 41-3HU,33-053-06647-0000
25150.4681666664,LEFTY 5200 12-30 7B,33-053-06889-0000
24921.695699097203,CRATER LAKE 41-14TFH,33-053-05190-0000
26055.812379129537,SEQUOIA  14-9MBH,33-053-05327-0000
25087.297337547145,MONSON FEDERAL 18-19H,33-053-05458-0000
24911.99587591488,HA-NELSON A- 152-95-3427H-3,33-053-05485-0000
25617.14872197138,VEEDER 27-34-26-35LL,33-053-05710-0000
25984.405051961454,AN-EVENSON- 152-95-1003H-9,33-053-05722-0000
26119.949409692585,MASTON 34-27 #6H,33-053-05726-0000
25260.413456830036,CAMERON FRYE 2-36-25H,33-053-05770-0000
25847.632135700554,MOBERG 3-20-21TH,33-053-05787-0000
25748.2316808048,LUCY EVANS 29-32HW,33-053-05806-0000
25887.339138198426,WAHLSTROM 152-102-34-27-4H,33-053-05832-0000
26371.798876316723,KIRKLAND 14-23-13-24LL,33-053-05885-0000
25424.847871971626,SALERS FEDERAL  4-27H1,33-053-05919-0000
24692.923897092463,WADE FEDERAL 5300 41-30 4T,33-053-05943-0000
25068.32634640773,TARPON FEDERAL 24-20-3RTF,33-053-05980-0000
26044.62444037157,HA-SANFORD- 152-96-1819H-2,33-053-05987-0000
24972.09168504713,HA-SANFORD- 152-96-1819H-5,33-053-05990-0000
24840.178467804937,HA-SANFORD- LE-152-96-1819H-1,33-053-05991-0000
25091.636455362972,KLINE FEDERAL  5300 31-18 7T,33-053-06056-0000
19780.27852439141,SKAAR FEDERAL 153-96-29-11H,33-053-06125-0000
25016.187509228897,HA-THOMPSON- 152-95-1720H-11,33-053-06267-0000
